Date,Total cases,Total Recovered,Total Death,X.1,X.2,X.3,X.4
1 Mar ,3,null,null,undefined,undefined,undefined,undefined
2 Mar ,6,null,null,undefined,undefined,undefined,undefined
3 Mar ,8,null,null,undefined,undefined,undefined,undefined
4 Mar ,30,null,null,undefined,undefined,undefined,undefined
5 Mar ,31,null,null,undefined,undefined,undefined,undefined
6 Mar ,32,null,null,undefined,undefined,undefined,undefined
7 Mar ,35,null,null,undefined,undefined,undefined,undefined
8 Mar ,41,null,null,undefined,undefined,undefined,undefined
9 Mar ,44,null,null,undefined,undefined,undefined,undefined
10 Mar ,60,null,null,undefined,undefined,undefined,undefined
11 Mar ,62,null,null,undefined,undefined,undefined,undefined
12 Mar ,74,3,null,undefined,undefined,undefined,undefined
13 Mar ,82,3,1,undefined,undefined,undefined,undefined
14 Mar ,107,9,2,undefined,undefined,undefined,undefined
15 Mar ,110,9,2,undefined,undefined,undefined,undefined
16 Mar ,114,13,2,undefined,undefined,undefined,undefined
17 Mar ,137,14,2,undefined,undefined,undefined,undefined
18 Mar ,151,14,3,undefined,undefined,undefined,undefined
19 Mar ,173,15,3,undefined,undefined,undefined,undefined
20 Mar ,223,20,4,undefined,undefined,undefined,undefined
21 Mar ,283,23,4,undefined,undefined,undefined,undefined
22 Mar ,360,23,4,undefined,undefined,undefined,undefined
23 Mar ,468,24,7,undefined,undefined,undefined,undefined
24 Mar ,519,37,9,undefined,undefined,undefined,undefined
25 Mar ,606,41,9,undefined,undefined,undefined,undefined
26 Mar ,694,43,13,undefined,undefined,undefined,undefined
27 Mar ,873,67,17,undefined,undefined,undefined,undefined
28 Mar ,979,79,19,undefined,undefined,undefined,undefined
29 Mar ,1071,87,25,undefined,undefined,undefined,undefined
30 Mar ,1251,100,29,undefined,undefined,undefined,undefined
31 Mar ,1637,102,32,undefined,undefined,undefined,undefined
1 Apr ,1965,132,38,undefined,undefined,undefined,undefined
2 Apr ,2301,151,50,undefined,undefined,undefined,undefined
3 Apr ,2902,157,56,undefined,undefined,undefined,undefined
4 Apr ,3374,184,68,undefined,undefined,undefined,undefined
5 Apr ,4067,267,77,undefined,undefined,undefined,undefined
6 Apr ,4421,292,109,undefined,undefined,undefined,undefined
7 Apr ,5194,401,149,undefined,undefined,undefined,undefined
8 Apr ,5734,473,166,undefined,undefined,undefined,undefined
9 Apr ,6412,504,199,undefined,undefined,undefined,undefined
10 Apr ,7447,643,239,undefined,undefined,undefined,undefined
11 Apr ,8356,715,273,undefined,undefined,undefined,undefined
12 Apr ,9152,857,308,undefined,undefined,undefined,undefined
13 Apr ,10363,1036,339,undefined,undefined,undefined,undefined
14 Apr ,11439,1306,377,undefined,undefined,undefined,undefined
15 Apr ,12380,1489,414,undefined,undefined,undefined,undefined
16 Apr ,13387,1749,437,undefined,undefined,undefined,undefined
17 Apr ,14378,1992,480,undefined,undefined,undefined,undefined
18 Apr ,15712,2231,507,undefined,undefined,undefined,undefined
19 Apr ,17265,2547,543,undefined,undefined,undefined,undefined
20 Apr ,18601,3252,590,undefined,undefined,undefined,undefined
21 Apr ,19984,3870,640,undefined,undefined,undefined,undefined
22 Apr ,21393,4258,681,undefined,undefined,undefined,undefined
23 Apr ,23077,4749,718,undefined,undefined,undefined,undefined
24 Apr ,24506,5063,775,undefined,undefined,undefined,undefined
25 Apr ,26496,5804,824,undefined,undefined,undefined,undefined
26 Apr ,27892,6185,872,undefined,undefined,undefined,undefined
27 Apr ,29435,6869,934,undefined,undefined,undefined,undefined
28 Apr ,31332,7696,1007,undefined,undefined,undefined,undefined
29 Apr ,33050,8325,1074,undefined,undefined,undefined,undefined
30 Apr ,35043,8889,1147,undefined,undefined,undefined,undefined
1 May ,37336,9951,1218,undefined,undefined,undefined,undefined
2 May ,39980,10633,1301,undefined,undefined,undefined,undefined
3 May ,42533,11707,1373,undefined,undefined,undefined,undefined
4 May ,46433,12727,1568,undefined,undefined,undefined,undefined
5 May ,49391,14183,1694,undefined,undefined,undefined,undefined
6 May ,52952,15267,1783,undefined,undefined,undefined,undefined
7 May ,56342,16540,1886,undefined,undefined,undefined,undefined
8 May ,59662,17847,1981,undefined,undefined,undefined,undefined
9 May ,62939,19358,2109,undefined,undefined,undefined,undefined
10 May ,67152,20917,2206,undefined,undefined,undefined,undefined
11 May ,70756,22455,2293,undefined,undefined,undefined,undefined
12 May ,74281,24386,2415,undefined,undefined,undefined,undefined
13 May ,78003,26235,2549,undefined,undefined,undefined,undefined
14 May ,81970,27920,2649,undefined,undefined,undefined,undefined
15 May ,85940,30153,2752,undefined,undefined,undefined,undefined
16 May ,90927,34109,2872,undefined,undefined,undefined,undefined
17 May ,96169,36824,3029,undefined,undefined,undefined,undefined
18 May ,101139,39174,3163,undefined,undefined,undefined,undefined
19 May ,106750,42298,3303,undefined,undefined,undefined,undefined
20 May ,112359,45300,3435,undefined,undefined,undefined,undefined
21 May ,118447,48534,3583,undefined,undefined,undefined,undefined
22 May ,125101,51784,3720,undefined,undefined,undefined,undefined
23 May ,131868,54441,3867,undefined,undefined,undefined,undefined
24 May ,138845,57721,4021,undefined,undefined,undefined,undefined
25 May ,145380,60490,4167,undefined,undefined,undefined,undefined
26 May ,151767,64426,4337,undefined,undefined,undefined,undefined
27 May ,158333,67692,4531,undefined,undefined,undefined,undefined
28 May ,165799,71106,4706,undefined,undefined,undefined,undefined
29 May ,173763,82370,4971,undefined,undefined,undefined,undefined
30 May ,182143,86984,5164,undefined,undefined,undefined,undefined